date,unhedged,hedged_daily,hedged_weekly
2022-01-03,18200.999450683594,18200.999450683594,18200.999450683594
2022-01-04,17969.99969482422,18253.797861004998,18253.797861004998
2022-01-05,17491.99981689453,18522.320833368976,18592.77414888656
2022-01-06,17200.0,18491.269879715168,18637.947324684228
2022-01-07,17216.99981689453,18436.17454074106,18553.15153464037
2022-01-10,17219.000244140625,18432.82411647772,18547.6146038162
2022-01-11,17508.00018310547,18291.975507279967,18406.766340562903
2022-01-12,17552.999877929688,18230.64179478452,18354.60588132121
2022-01-13,17219.000244140625,18459.427139506217,18526.463493732586
2022-01-14,17307.000732421875,18344.203817664795,18411.037873587113
2022-01-18,16980.00030517578,18630.224993277607,18683.055120891757
2022-01-19,16622.999572753906,18626.38136243801,18679.21173611086
2022-01-20,16450.999450683594,18672.639499774643,18747.399595714796
2022-01-21,16241.000366210938,18775.344547049823,18894.54570109867
2022-01-24,16161.99951171875,18817.17777121813,18958.376909780425
2022-01-25,15977.999877929688,18933.65247873005,19133.380662553638
2022-01-26,15969.000244140625,18904.918238546892,19104.64746205414
2022-01-27,15922.000122070312,18929.554026757352,19129.74874343168
2022-01-28,17033.00018310547,18564.002830970698,18747.051562914607
2022-01-31,17477.999877929688,18310.22096824799,18617.903813187047
2022-02-01,17461.000061035156,18234.095561071263,18558.901900388675
2022-02-02,17583.999633789062,18158.449897096492,18483.25792719103
2022-02-03,17289.999389648438,18472.542867211265,18765.18493098321
2022-02-04,17238.999938964844,18325.131375912035,18611.496364214905
2022-02-07,17166.000366210938,18286.800133906618,18576.292355576796
2022-02-08,17483.00018310547,18166.097316749612,18402.158998671104
2022-02-09,17627.999877929688,18048.520346079178,18284.583709541927
2022-02-10,17211.99951171875,18254.446799126315,18445.558357555747
2022-02-11,16863.999938964844,18463.85594951067,18722.27584503463
2022-02-14,16888.00048828125,18409.289087035773,18647.685664406403
2022-02-15,17278.99932861328,18241.101951957913,18338.561682221076
2022-02-16,17255.00030517578,18185.71800133655,18283.17874625424
2022-02-17,16888.00048828125,18404.580432648687,18509.57713643866
2022-02-18,16730.00030517578,18378.4816912328,18503.947896204743
2022-02-22,16432.000732421875,18371.093309240543,18562.162375612526
2022-02-23,16007.000732421875,18461.915234630756,18836.251835441893
2022-02-24,16274.000549316406,18408.33592051398,18782.675803194634
2022-02-25,16485.000610351562,18321.159810347923,18709.81313754634
2022-02-28,16511.99951171875,18318.898843524352,18709.95359786265
2022-03-01,16319.999694824219,18416.553142917408,18781.853599587273
2022-03-02,16655.999755859375,18314.127365193886,18705.275152686267
2022-03-03,16622.999572753906,18306.203273991076,18697.355133728193
2022-03-04,16316.999816894531,18413.437582586477,18810.235013856298
2022-03-07,15930.000305175781,18475.418513127875,18912.453344019996
2022-03-08,15744.000244140625,18388.58390256672,18825.62304396062
2022-03-09,16294.999694824219,18032.432782191023,18419.14783949507
2022-03-10,15852.000427246094,18183.23866804432,18569.95785739434
2022-03-11,15472.999572753906,18387.696267650892,18883.660746416175
2022-03-14,15061.99951171875,18572.580191136098,19277.761012797397
2022-03-15,15508.999633789062,18296.365164957704,18627.1534608621
2022-03-16,15958.999633789062,17973.223588005323,18046.96987878509
2022-03-17,16061.99951171875,17867.03189406493,17940.778993027652
2022-03-18,16397.999572753906,17699.987157669104,17801.857423149875
2022-03-21,16538.00048828125,17781.64923435876,17896.912469777937
2022-03-22,16882.000732421875,17624.371844750047,17876.346971748568
2022-03-23,17021.00067138672,17823.30090398626,18049.044469884102
2022-03-24,17407.000732421875,17716.513765635213,17942.260547628684
2022-03-25,17472.000122070312,17593.791929277675,17869.1108953191
2022-03-28,17560.000610351562,17623.3787468072,17918.25034335453
2022-03-29,17896.00067138672,17514.650280472946,17972.79530448266
2022-03-30,17777.000427246094,17630.652899390727,17980.142502535826
2022-03-31,17461.000061035156,17752.44923395517,18101.9438161657
